SHOVEL,DUMPER ,LEAD,COMBINATION,CODE,CELING ,STD TRIP
S01,D02,L01,S01D02L01,101,905,39
S01,D02,L02,S01D02L02,102,904,27
S01,D02,L03,S01D02L03,103,875,22
S01,D02,L04,S01D02L04,104,906,21
S01,D02,L05,S01D02L05,105,900,20
S01,D02,L06,S01D02L06,106,917,19
S01,D02,L07,S01D02L07,107,837,18
S01,D02,L08,S01D02L08,108,842,17
S01,D02,L09,S01D02L09,109,858,17
S01,D02,L10,S01D02L10,110,841,16
S01,D02,L11,S01D02L11,111,885,17
S01,D02,L12,S01D02L12,112,875,16
S01,D03,L01,S01D03L01,113,886,62
S01,D03,L02,S01D03L02,114,887,38
S01,D03,L03,S01D03L03,115,911,28
S01,D03,L04,S01D03L04,116,866,25
S01,D03,L05,S01D03L05,117,871,23
S01,D03,L06,S01D03L06,118,860,21
S01,D03,L07,S01D03L07,119,846,20
S01,D03,L08,S01D03L08,120,871,19
S01,D03,L09,S01D03L09,121,848,17
S01,D03,L10,S01D03L10,122,863,17
S01,D03,L11,S01D03L11,123,878,17
S01,D03,L12,S01D03L12,124,906,17
S01,D04,L01,S01D04L01,125,886,62
S01,D04,L02,S01D04L02,126,887,38
S01,D04,L03,S01D04L03,127,911,28
S01,D04,L04,S01D04L04,128,866,25
S01,D04,L05,S01D04L05,129,871,23
S01,D04,L06,S01D04L06,130,860,21
S01,D04,L07,S01D04L07,131,846,20
S01,D04,L08,S01D04L08,132,871,19
S01,D04,L09,S01D04L09,133,848,17
S01,D04,L10,S01D04L10,134,863,17
S01,D04,L11,S01D04L11,135,878,17
S01,D04,L12,S01D04L12,136,906,17
S01,D12,L01,S01D12L01,137,905,27
S01,D12,L02,S01D12L02,138,904,19
S01,D12,L03,S01D12L03,139,875,15
S01,D12,L04,S01D12L04,140,906,15
S01,D12,L05,S01D12L05,141,900,14
S01,D12,L06,S01D12L06,142,917,13
S01,D12,L07,S01D12L07,143,837,13
S01,D12,L08,S01D12L08,144,842,12
S01,D12,L09,S01D12L09,145,858,12
S01,D12,L10,S01D12L10,146,841,11
S01,D12,L11,S01D12L11,147,885,12
S01,D12,L12,S01D12L12,148,875,11
S01,D13,L01,S01D13L01,149,886,43
S01,D13,L02,S01D13L02,150,887,27
S01,D13,L03,S01D13L03,151,911,20
S01,D13,L04,S01D13L04,152,866,18
S01,D13,L05,S01D13L05,153,871,16
S01,D13,L06,S01D13L06,154,860,15
S01,D13,L07,S01D13L07,155,846,14
S01,D13,L08,S01D13L08,156,871,13
S01,D13,L09,S01D13L09,157,848,12
S01,D13,L10,S01D13L10,158,863,12
S01,D13,L11,S01D13L11,159,878,12
S01,D13,L12,S01D13L12,160,906,12
S01,D14,L01,S01D14L01,161,886,43
S01,D14,L02,S01D14L02,162,887,27
S01,D14,L03,S01D14L03,163,911,20
S01,D14,L04,S01D14L04,164,866,18
S01,D14,L05,S01D14L05,165,871,16
S01,D14,L06,S01D14L06,166,860,15
S01,D14,L07,S01D14L07,167,846,14
S01,D14,L08,S01D14L08,168,871,13
S01,D14,L09,S01D14L09,169,848,12
S01,D14,L10,S01D14L10,170,863,12
S01,D14,L11,S01D14L11,171,878,12
S01,D14,L12,S01D14L12,172,906,12
S03,D02,L01,S03D02L01,173,905,53
S03,D02,L02,S03D02L02,174,909,36
S03,D02,L03,S03D02L03,175,900,30
S03,D02,L04,S03D02L04,176,909,25
S03,D02,L05,S03D02L05,177,853,25
S03,D02,L06,S03D02L06,178,896,22
S03,D02,L07,S03D02L07,179,906,20
S03,D02,L08,S03D02L08,180,855,18
S03,D02,L09,S03D02L09,181,865,19
S03,D02,L10,S03D02L10,182,850,18
S03,D02,L11,S03D02L11,183,892,19
S03,D02,L12,S03D02L12,184,887,18
S03,D03,L01,S03D03L01,185,905,53
S03,D03,L02,S03D03L02,186,909,36
S03,D03,L03,S03D03L03,187,900,30
S03,D03,L04,S03D03L04,188,909,25
S03,D03,L05,S03D03L05,189,853,25
S03,D03,L06,S03D03L06,190,896,22
S03,D03,L07,S03D03L07,191,906,20
S03,D03,L08,S03D03L08,192,855,18
S03,D03,L09,S03D03L09,193,865,19
S03,D03,L10,S03D03L10,194,850,18
S03,D03,L11,S03D03L11,195,892,19
S03,D03,L12,S03D03L12,196,887,18
S03,D04,L01,S03D04L01,197,877,65
S03,D04,L02,S03D04L02,198,865,36
S03,D04,L03,S03D04L03,199,884,30
S03,D04,L04,S03D04L04,200,887,26
S03,D04,L05,S03D04L05,201,903,25
S03,D04,L06,S03D04L06,202,875,24
S03,D04,L07,S03D04L07,203,883,23
S03,D04,L08,S03D04L08,204,873,22
S03,D04,L09,S03D04L09,205,892,22
S03,D04,L10,S03D04L10,206,888,20
S03,D04,L11,S03D04L11,207,918,22
S03,D04,L12,S03D04L12,208,924,20
S03,D12,L01,S03D12L01,209,905,37
S03,D12,L02,S03D12L02,210,909,25
S03,D12,L03,S03D12L03,211,900,21
S03,D12,L04,S03D12L04,212,909,18
S03,D12,L05,S03D12L05,213,853,18
S03,D12,L06,S03D12L06,214,896,15
S03,D12,L07,S03D12L07,215,906,14
S03,D12,L08,S03D12L08,216,855,13
S03,D12,L09,S03D12L09,217,865,13
S03,D12,L10,S03D12L10,218,850,13
S03,D12,L11,S03D12L11,219,892,13
S03,D12,L12,S03D12L12,220,887,13
S03,D13,L01,S03D13L01,221,905,37
S03,D13,L02,S03D13L02,222,909,25
S03,D13,L03,S03D13L03,223,900,21
S03,D13,L04,S03D13L04,224,909,18
S03,D13,L05,S03D13L05,225,853,18
S03,D13,L06,S03D13L06,226,896,15
S03,D13,L07,S03D13L07,227,906,14
S03,D13,L08,S03D13L08,228,855,13
S03,D13,L09,S03D13L09,229,865,13
S03,D13,L10,S03D13L10,230,850,13
S03,D13,L11,S03D13L11,231,892,13
S03,D13,L12,S03D13L12,232,887,13
S03,D14,L01,S03D14L01,233,877,46
S03,D14,L02,S03D14L02,234,865,25
S03,D14,L03,S03D14L03,235,884,21
S03,D14,L04,S03D14L04,236,887,18
S03,D14,L05,S03D14L05,237,903,18
S03,D14,L06,S03D14L06,238,875,17
S03,D14,L07,S03D14L07,239,883,16
S03,D14,L08,S03D14L08,240,873,15
S03,D14,L09,S03D14L09,241,892,15
S03,D14,L10,S03D14L10,242,888,14
S03,D14,L11,S03D14L11,243,918,15
S03,D14,L12,S03D14L12,244,924,14
S04,D02,L01,S04D02L01,245,945,49
S04,D02,L02,S04D02L02,246,909,32
S04,D02,L03,S04D02L03,247,918,27
S04,D02,L04,S04D02L04,248,864,22
S04,D02,L05,S04D02L05,249,853,21
S04,D02,L06,S04D02L06,250,896,20
S04,D02,L07,S04D02L07,251,906,18
S04,D02,L08,S04D02L08,252,855,16
S04,D02,L09,S04D02L09,253,865,16
S04,D02,L10,S04D02L10,254,909,16
S04,D02,L11,S04D02L11,255,865,17
S04,D02,L12,S04D02L12,256,905,15
S04,D03,L01,S04D03L01,257,905,51
S04,D03,L02,S04D03L02,258,909,35
S04,D03,L03,S04D03L03,259,900,29
S04,D03,L04,S04D03L04,260,909,25
S04,D03,L05,S04D03L05,261,853,24
S04,D03,L06,S04D03L06,262,896,23
S04,D03,L07,S04D03L07,263,906,21
S04,D03,L08,S04D03L08,264,855,19
S04,D03,L09,S04D03L09,265,865,19
S04,D03,L10,S04D03L10,266,850,19
S04,D03,L11,S04D03L11,267,892,19
S04,D03,L12,S04D03L12,268,887,19
S04,D04,L01,S04D04L01,269,877,64
S04,D04,L02,S04D04L02,270,866,35
S04,D04,L03,S04D04L03,271,884,29
S04,D04,L04,S04D04L04,272,887,26
S04,D04,L05,S04D04L05,273,903,25
S04,D04,L06,S04D04L06,274,875,25
S04,D04,L07,S04D04L07,275,883,24
S04,D04,L08,S04D04L08,276,873,23
S04,D04,L09,S04D04L09,277,892,23
S04,D04,L10,S04D04L10,278,888,21
S04,D04,L11,S04D04L11,279,918,23
S04,D04,L12,S04D04L12,280,924,21
S04,D12,L01,S04D12L01,281,945,34
S04,D12,L02,S04D12L02,282,909,22
S04,D12,L03,S04D12L03,283,918,19
S04,D12,L04,S04D12L04,284,864,15
S04,D12,L05,S04D12L05,285,853,15
S04,D12,L06,S04D12L06,286,896,14
S04,D12,L07,S04D12L07,287,906,13
S04,D12,L08,S04D12L08,288,855,11
S04,D12,L09,S04D12L09,289,865,11
S04,D12,L10,S04D12L10,290,909,11
S04,D12,L11,S04D12L11,291,865,12
S04,D12,L12,S04D12L12,292,905,11
S04,D13,L01,S04D13L01,293,905,36
S04,D13,L02,S04D13L02,294,909,25
S04,D13,L03,S04D13L03,295,900,20
S04,D13,L04,S04D13L04,296,909,18
S04,D13,L05,S04D13L05,297,853,17
S04,D13,L06,S04D13L06,298,896,16
S04,D13,L07,S04D13L07,299,906,15
S04,D13,L08,S04D13L08,300,855,13
S04,D13,L09,S04D13L09,301,865,13
S04,D13,L10,S04D13L10,302,850,13
S04,D13,L11,S04D13L11,303,892,13
S04,D13,L12,S04D13L12,304,887,13
S04,D14,L01,S04D14L01,305,877,45
S04,D14,L02,S04D14L02,306,866,25
S04,D14,L03,S04D14L03,307,884,20
S04,D14,L04,S04D14L04,308,887,18
S04,D14,L05,S04D14L05,309,903,18
S04,D14,L06,S04D14L06,310,875,18
S04,D14,L07,S04D14L07,311,883,17
S04,D14,L08,S04D14L08,312,873,16
S04,D14,L09,S04D14L09,313,892,16
S04,D14,L10,S04D14L10,314,888,15
S04,D14,L11,S04D14L11,315,918,16
S04,D14,L12,S04D14L12,316,924,15
S05,D02,L01,S05D02L01,317,913,37
S05,D02,L02,S05D02L02,318,877,25
S05,D02,L03,S05D02L03,319,864,22
S05,D02,L04,S05D02L04,320,890,21
S05,D02,L05,S05D02L05,321,891,20
S05,D02,L06,S05D02L06,322,885,19
S05,D02,L07,S05D02L07,323,828,18
S05,D02,L08,S05D02L08,324,831,17
S05,D02,L09,S05D02L09,325,821,16
S05,D02,L10,S05D02L10,326,843,16
S05,D02,L11,S05D02L11,327,848,16
S05,D02,L12,S05D02L12,328,870,16
S05,D03,L01,S05D03L01,329,864,38
S05,D03,L02,S05D03L02,330,877,26
S05,D03,L03,S05D03L03,331,864,23
S05,D03,L04,S05D03L04,332,885,23
S05,D03,L05,S05D03L05,333,875,22
S05,D03,L06,S05D03L06,334,890,21
S05,D03,L07,S05D03L07,335,891,20
S05,D03,L08,S05D03L08,336,885,19
S05,D03,L09,S05D03L09,337,828,18
S05,D03,L10,S05D03L10,338,831,17
S05,D03,L11,S05D03L11,339,831,16
S05,D03,L12,S05D03L12,340,831,15
S05,D04,L01,S05D04L01,341,869,58
S05,D04,L02,S05D04L02,342,830,33
S05,D04,L03,S05D04L03,343,819,27
S05,D04,L04,S05D04L04,344,873,24
S05,D04,L05,S05D04L05,345,880,23
S05,D04,L06,S05D04L06,346,880,22
S05,D04,L07,S05D04L07,347,888,21
S05,D04,L08,S05D04L08,348,888,20
S05,D04,L09,S05D04L09,349,902,20
S05,D04,L10,S05D04L10,350,903,19
S05,D04,L11,S05D04L11,351,932,20
S05,D04,L12,S05D04L12,352,933,20
S05,D12,L01,S05D12L01,353,913,26
S05,D12,L02,S05D12L02,354,877,18
S05,D12,L03,S05D12L03,355,864,15
S05,D12,L04,S05D12L04,356,890,15
S05,D12,L05,S05D12L05,357,891,14
S05,D12,L06,S05D12L06,358,885,13
S05,D12,L07,S05D12L07,359,828,13
S05,D12,L08,S05D12L08,360,831,12
S05,D12,L09,S05D12L09,361,821,11
S05,D12,L10,S05D12L10,362,843,11
S05,D12,L11,S05D12L11,363,848,11
S05,D12,L12,S05D12L12,364,870,11
S05,D13,L01,S05D13L01,365,864,27
S05,D13,L02,S05D13L02,366,877,18
S05,D13,L03,S05D13L03,367,864,16
S05,D13,L04,S05D13L04,368,885,16
S05,D13,L05,S05D13L05,369,875,15
S05,D13,L06,S05D13L06,370,890,15
S05,D13,L07,S05D13L07,371,891,14
S05,D13,L08,S05D13L08,372,885,13
S05,D13,L09,S05D13L09,373,828,13
S05,D13,L10,S05D13L10,374,831,12
S05,D13,L11,S05D13L11,375,831,11
S05,D13,L12,S05D13L12,376,831,11
S05,D14,L01,S05D14L01,377,869,41
S05,D14,L02,S05D14L02,378,830,23
S05,D14,L03,S05D14L03,379,819,19
S05,D14,L04,S05D14L04,380,873,17
S05,D14,L05,S05D14L05,381,880,16
S05,D14,L06,S05D14L06,382,880,15
S05,D14,L07,S05D14L07,383,888,15
S05,D14,L08,S05D14L08,384,888,14
S05,D14,L09,S05D14L09,385,902,14
S05,D14,L10,S05D14L10,386,903,13
S05,D14,L11,S05D14L11,387,932,14
S05,D14,L12,S05D14L12,388,933,14
S55,D02,L01,S55D02L01,389,913,37
S55,D02,L02,S55D02L02,390,877,25
S55,D02,L03,S55D02L03,391,864,22
S55,D02,L04,S55D02L04,392,890,21
S55,D02,L05,S55D02L05,393,891,20
S55,D02,L06,S55D02L06,394,885,19
S55,D02,L07,S55D02L07,395,828,18
S55,D02,L08,S55D02L08,396,831,17
S55,D02,L09,S55D02L09,397,821,16
S55,D02,L10,S55D02L10,398,843,16
S55,D02,L11,S55D02L11,399,848,16
S55,D02,L12,S55D02L12,400,870,16
S55,D03,L01,S55D03L01,401,864,38
S55,D03,L02,S55D03L02,402,877,26
S55,D03,L03,S55D03L03,403,864,23
S55,D03,L04,S55D03L04,404,885,23
S55,D03,L05,S55D03L05,405,875,22
S55,D03,L06,S55D03L06,406,890,21
S55,D03,L07,S55D03L07,407,891,20
S55,D03,L08,S55D03L08,408,885,19
S55,D03,L09,S55D03L09,409,828,18
S55,D03,L10,S55D03L10,410,831,17
S55,D03,L11,S55D03L11,411,831,16
S55,D03,L12,S55D03L12,412,831,15
S55,D04,L01,S55D04L01,413,869,58
S55,D04,L02,S55D04L02,414,830,33
S55,D04,L03,S55D04L03,415,819,27
S55,D04,L04,S55D04L04,416,873,24
S55,D04,L05,S55D04L05,417,880,23
S55,D04,L06,S55D04L06,418,880,22
S55,D04,L07,S55D04L07,419,888,21
S55,D04,L08,S55D04L08,420,888,20
S55,D04,L09,S55D04L09,421,902,20
S55,D04,L10,S55D04L10,422,903,19
S55,D04,L11,S55D04L11,423,932,20
S55,D04,L12,S55D04L12,424,933,20
S55,D12,L01,S55D12L01,425,913,26
S55,D12,L02,S55D12L02,426,877,18
S55,D12,L03,S55D12L03,427,864,15
S55,D12,L04,S55D12L04,428,890,15
S55,D12,L05,S55D12L05,429,891,14
S55,D12,L06,S55D12L06,430,885,13
S55,D12,L07,S55D12L07,431,828,13
S55,D12,L08,S55D12L08,432,831,12
S55,D12,L09,S55D12L09,433,821,11
S55,D12,L10,S55D12L10,434,843,11
S55,D12,L11,S55D12L11,435,848,11
S55,D12,L12,S55D12L12,436,870,11
S55,D13,L01,S55D13L01,437,864,27
S55,D13,L02,S55D13L02,438,877,18
S55,D13,L03,S55D13L03,439,864,16
S55,D13,L04,S55D13L04,440,885,16
S55,D13,L05,S55D13L05,441,875,15
S55,D13,L06,S55D13L06,442,890,15
S55,D13,L07,S55D13L07,443,891,14
S55,D13,L08,S55D13L08,444,885,13
S55,D13,L09,S55D13L09,445,828,13
S55,D13,L10,S55D13L10,446,831,12
S55,D13,L11,S55D13L11,447,831,11
S55,D13,L12,S55D13L12,448,831,11
S55,D14,L01,S55D14L01,449,869,41
S55,D14,L02,S55D14L02,450,830,23
S55,D14,L03,S55D14L03,451,819,19
S55,D14,L04,S55D14L04,452,873,17
S55,D14,L05,S55D14L05,453,880,16
S55,D14,L06,S55D14L06,454,880,15
S55,D14,L07,S55D14L07,455,888,15
S55,D14,L08,S55D14L08,456,888,14
S55,D14,L09,S55D14L09,457,902,14
S55,D14,L10,S55D14L10,458,903,13
S55,D14,L11,S55D14L11,459,932,14
S55,D14,L12,S55D14L12,460,933,14
