CODE,CODE_TRIP,TRIP,EARNING,RATE
101,10120,20,108,10.8
101,10126,26,173,16.2
101,10131,31,254,23.4
101,10136,36,371,48.6
101,10139,39,517,48.6
102,10214,14,108,12.6
102,10218,18,158,21.6
102,10221,21,223,37.8
102,10225,25,374,75.6
102,10227,27,526,75.6
103,10311,11,108,21.6
103,10314,14,173,27
103,10317,17,254,45
103,10320,20,289,81
103,10322,22,551,81
104,10411,11,118,21.6
104,10414,14,183,28.8
104,10417,17,269,59.4
104,10419,19,388,86.4
104,10421,21,561,86.4
105,10510,10,108,21.6
105,10513,13,173,28.8
105,10515,15,230,50.4
105,10518,18,282,86.4
105,10520,20,554,86.4
106,10610,10,118,21.6
106,10612,12,161,32.4
106,10615,15,258,54
106,10617,17,366,91.8
106,10619,19,550,91.8
107,10709,9,108,21.6
107,10712,12,173,36
107,10714,14,245,57.6
107,10716,16,360,95.4
107,10718,18,551,95.4
108,10809,9,118,25.2
108,10811,11,168,37.8
108,10813,13,244,57.6
108,10815,15,359,95.4
108,10817,17,550,97.2
109,10909,9,118,27
109,10911,11,172,39.6
109,10913,13,251,57.6
109,10915,15,366,97.2
109,10917,17,561,99
110,11009,9,128,27
110,11010,10,155,39.6
110,11012,12,234,57.6
110,11014,14,349,97.2
110,11016,16,544,99
111,11108,8,118,27
111,11111,11,199,39.6
111,11113,13,278,57.6
111,11115,15,393,97.2
111,11117,17,588,99
112,11207,7,108,27
112,11210,10,189,39.6
112,11212,12,268,57.6
112,11214,14,383,97.2
112,11216,16,578,99
113,11329,29,108,5.4
113,11339,39,162,10.8
113,11346,46,238,18
113,11354,54,382,25.2
113,11362,62,583,25.2
114,11418,18,108,10.8
114,11423,23,162,16.2
114,11428,28,243,27
114,11433,33,378,41.4
114,11438,38,585,43.2
115,11514,14,108,14.4
115,11518,18,166,21.6
115,11522,22,252,43.2
115,11526,26,425,54
115,11528,28,533,54
116,11612,12,108,14.4
116,11616,16,166,27
116,11619,19,247,46.8
116,11625,25,542,54
116,11629,29,434,54
117,11711,11,108,18
117,11714,14,162,27
117,11717,17,243,46.8
117,11720,20,383,57.6
117,11723,23,556,63
118,11810,10,108,18
118,11813,13,162,27
118,11815,15,216,46.8
118,11818,18,356,72
118,11821,21,572,72
119,11910,10,108,18
119,11913,13,162,28.8
119,11915,15,220,46.8
119,11918,18,360,81
119,11920,20,522,81
120,12009,9,108,18
120,12012,12,162,28.8
120,12015,15,248,68.4
120,12017,17,385,81
120,12019,19,547,81
121,12108,8,108,19.8
121,12111,11,167,28.8
121,12113,13,225,68.4
121,12115,15,362,81
121,12117,17,524,81
122,12208,8,118,21.6
122,12211,11,183,28.8
122,12213,13,240,68.4
122,12215,15,377,81
122,12217,17,539,81
123,12307,7,118,19.8
123,12311,11,197,28.8
123,12313,13,255,68.4
123,12315,15,392,81
123,12317,17,554,81
124,12406,6,118,21.6
124,12411,11,226,28.8
124,12413,13,284,68.4
124,12415,15,420,81
124,12417,17,582,81
125,12529,29,108,5.4
125,12539,39,162,10.8
125,12546,46,238,18
125,12554,54,382,25.2
125,12562,62,583,25.2
126,12618,18,108,10.8
126,12623,23,162,16.2
126,12628,28,243,27
126,12633,33,378,41.4
126,12638,38,585,43.2
127,12714,14,108,14.4
127,12718,18,166,21.6
127,12722,22,252,43.2
127,12726,26,425,54
127,12728,28,533,54
128,12812,12,108,14.4
128,12816,16,166,27
128,12819,19,247,46.8
128,12825,25,542,54
128,12829,29,434,54
129,12911,11,108,18
129,12914,14,162,27
129,12917,17,243,46.8
129,12920,20,383,57.6
129,12923,23,556,63
130,13010,10,108,18
130,13013,13,162,27
130,13015,15,216,46.8
130,13018,18,356,72
130,13021,21,572,72
131,13110,10,108,18
131,13113,13,162,28.8
131,13115,15,220,46.8
131,13118,18,360,81
131,13120,20,522,81
132,13209,9,108,18
132,13212,12,162,28.8
132,13215,15,248,68.4
132,13217,17,385,81
132,13219,19,547,81
133,13308,8,108,19.8
133,13311,11,167,28.8
133,13313,13,225,68.4
133,13315,15,362,81
133,13317,17,524,81
134,13408,8,118,21.6
134,13411,11,183,28.8
134,13413,13,240,68.4
134,13415,15,377,81
134,13417,17,539,81
135,13507,7,118,19.8
135,13511,11,197,28.8
135,13513,13,255,68.4
135,13515,15,392,81
135,13517,17,554,81
136,13606,6,118,21.6
136,13611,11,226,28.8
136,13613,13,284,68.4
136,13615,15,420,81
136,13617,17,582,81
137,13714,14,108,10.8
137,13718,18,173,16.2
137,13722,22,254,23.4
137,13725,25,371,48.6
137,13727,27,517,48.6
138,13810,10,108,12.6
138,13813,13,158,21.6
138,13815,15,223,37.8
138,13818,18,374,75.6
138,13819,19,526,75.6
139,13908,8,108,21.6
139,13910,10,173,27
139,13912,12,254,45
139,13914,14,289,81
139,13915,15,551,81
140,14008,8,118,21.6
140,14010,10,183,28.8
140,14012,12,269,59.4
140,14013,13,388,86.4
140,14015,15,561,86.4
141,14107,7,108,21.6
141,14109,9,173,28.8
141,14111,11,230,50.4
141,14113,13,282,86.4
141,14114,14,554,86.4
142,14207,7,118,21.6
142,14208,8,161,32.4
142,14211,11,258,54
142,14212,12,366,91.8
142,14213,13,550,91.8
143,14306,6,108,21.6
143,14308,8,173,36
143,14310,10,245,57.6
143,14311,11,360,95.4
143,14313,13,551,95.4
144,14406,6,118,25.2
144,14408,8,168,37.8
144,14409,9,244,57.6
144,14411,11,359,95.4
144,14412,12,550,97.2
145,14506,6,118,27
145,14508,8,172,39.6
145,14509,9,251,57.6
145,14511,11,366,97.2
145,14512,12,561,99
146,14606,6,128,27
146,14607,7,155,39.6
146,14608,8,234,57.6
146,14610,10,349,97.2
146,14611,11,544,99
147,14706,6,118,27
147,14708,8,199,39.6
147,14709,9,278,57.6
147,14711,11,393,97.2
147,14712,12,588,99
148,14805,5,108,27
148,14807,7,189,39.6
148,14808,8,268,57.6
148,14810,10,383,97.2
148,14811,11,578,99
149,14920,20,108,5.4
149,14927,27,162,10.8
149,14932,32,238,18
149,14938,38,382,25.2
149,14943,43,583,25.2
150,15013,13,108,10.8
150,15016,16,162,16.2
150,15020,20,243,27
150,15023,23,378,41.4
150,15027,27,585,43.2
151,15110,10,108,14.4
151,15113,13,166,21.6
151,15115,15,252,43.2
151,15118,18,425,54
151,15120,20,533,54
152,15208,8,108,14.4
152,15211,11,166,27
152,15213,13,247,46.8
152,15218,18,542,54
152,15220,20,434,54
153,15308,8,108,18
153,15310,10,162,27
153,15312,12,243,46.8
153,15314,14,383,57.6
153,15316,16,556,63
154,15407,7,108,18
154,15409,9,162,27
154,15411,11,216,46.8
154,15413,13,356,72
154,15415,15,572,72
155,15507,7,108,18
155,15509,9,162,28.8
155,15511,11,220,46.8
155,15513,13,360,81
155,15514,14,522,81
156,15606,6,108,18
156,15608,8,162,28.8
156,15611,11,248,68.4
156,15612,12,385,81
156,15613,13,547,81
157,15706,6,108,19.8
157,15708,8,167,28.8
157,15709,9,225,68.4
157,15711,11,362,81
157,15712,12,524,81
158,15806,6,118,21.6
158,15808,8,183,28.8
158,15809,9,240,68.4
158,15811,11,377,81
158,15812,12,539,81
159,15905,5,118,19.8
159,15908,8,197,28.8
159,15909,9,255,68.4
159,15911,11,392,81
159,15912,12,554,81
160,16004,4,118,21.6
160,16008,8,226,28.8
160,16009,9,284,68.4
160,16011,11,420,81
160,16012,12,582,81
161,16120,20,108,5.4
161,16127,27,162,10.8
161,16132,32,238,18
161,16138,38,382,25.2
161,16143,43,583,25.2
162,16213,13,108,10.8
162,16216,16,162,16.2
162,16220,20,243,27
162,16223,23,378,41.4
162,16227,27,585,43.2
163,16310,10,108,14.4
163,16313,13,166,21.6
163,16315,15,252,43.2
163,16318,18,425,54
163,16320,20,533,54
164,16408,8,108,14.4
164,16411,11,166,27
164,16413,13,247,46.8
164,16418,18,542,54
164,16420,20,434,54
165,16508,8,108,18
165,16510,10,162,27
165,16512,12,243,46.8
165,16514,14,383,57.6
165,16516,16,556,63
166,16607,7,108,18
166,16609,9,162,27
166,16611,11,216,46.8
166,16613,13,356,72
166,16615,15,572,72
167,16707,7,108,18
167,16709,9,162,28.8
167,16711,11,220,46.8
167,16713,13,360,81
167,16714,14,522,81
168,16806,6,108,18
168,16808,8,162,28.8
168,16811,11,248,68.4
168,16812,12,385,81
168,16813,13,547,81
169,16906,6,108,19.8
169,16908,8,167,28.8
169,16909,9,225,68.4
169,16911,11,362,81
169,16912,12,524,81
170,17006,6,118,21.6
170,17008,8,183,28.8
170,17009,9,240,68.4
170,17011,11,377,81
170,17012,12,539,81
171,17105,5,118,19.8
171,17108,8,197,28.8
171,17109,9,255,68.4
171,17111,11,392,81
171,17112,12,554,81
172,17204,4,118,21.6
172,17208,8,226,28.8
172,17209,9,284,68.4
172,17211,11,420,81
172,17212,12,582,81
173,17323,23,108,10.8
173,17330,30,184,16.2
173,17337,37,297,36
173,17344,44,549,39.6
173,17351,51,826,39.6
174,17412,12,108,14.4
174,17420,20,180,19.8
174,17425,25,279,36
174,17429,29,423,54
174,17434,34,693,54
175,17512,12,108,18
175,17516,16,180,27
175,17520,20,288,45
175,17524,24,468,54
175,17528,28,684,54
176,17610,10,108,18
176,17613,13,162,27
176,17616,16,243,45
176,17620,20,423,81
176,17623,23,666,81
177,17710,10,108,18
177,17713,13,162,27
177,17716,16,243,68.4
177,17719,19,448,81
177,17722,22,691,81
178,17809,9,108,18
178,17812,12,162,41.4
178,17815,15,286,68.4
178,17818,18,491,81
178,17821,21,734,81
179,17909,9,118,27
179,17911,11,172,41.4
179,17914,14,296,68.4
179,17917,17,501,81
179,17919,19,663,81
180,18008,8,108,27
180,18010,10,162,41.4
180,18012,12,245,68.4
180,18015,15,450,81
180,18017,17,612,81
181,18108,8,118,27
181,18110,10,172,41.4
181,18112,12,255,68.4
181,18115,15,460,81
181,18117,17,622,81
182,18207,7,108,27
182,18210,10,189,41.4
182,18212,12,272,68.4
182,18214,14,409,81
182,18217,17,652,99
183,18307,7,118,27
183,18310,10,199,41.4
183,18312,12,282,68.4
183,18315,15,487,81
183,18317,17,649,81
184,18406,6,118,27
184,18410,10,226,41.4
184,18412,12,309,68.4
184,18414,14,446,81
184,18417,17,689,99
185,18525,25,108,10.8
185,18532,32,184,16.2
185,18539,39,297,36
185,18546,46,549,39.6
185,18553,53,826,39.6
186,18617,17,108,14.4
186,18622,22,180,19.8
186,18627,27,279,36
186,18631,31,423,54
186,18636,36,693,54
187,18714,14,108,18
187,18718,18,180,27
187,18722,22,288,45
187,18726,26,468,54
187,18730,30,684,54
188,18812,12,108,18
188,18815,15,162,27
188,18818,18,243,45
188,18822,22,423,81
188,18825,25,666,81
189,18912,12,108,18
189,18915,15,162,27
189,18918,18,243,68.4
189,18921,21,448,81
189,18924,24,691,81
190,19011,11,108,18
190,19014,14,162,41.4
190,19017,17,286,68.4
190,19020,20,491,81
190,19023,23,734,81
191,19111,11,118,27
191,19113,13,172,41.4
191,19116,16,296,68.4
191,19119,19,501,81
191,19121,21,663,81
192,19210,10,108,27
192,19212,12,162,41.4
192,19214,14,245,68.4
192,19217,17,450,81
192,19219,19,612,81
193,19310,10,118,27
193,19312,12,172,41.4
193,19314,14,255,68.4
193,19317,17,460,81
193,19319,19,622,81
194,19409,9,108,27
194,19412,12,198,41.4
194,19414,14,272,68.4
194,19416,16,409,81
194,19419,19,652,99
195,19509,9,118,27
195,19512,12,199,41.4
195,19514,14,282,68.4
195,19517,17,487,81
195,19519,19,649,81
196,19609,9,118,27
196,19612,12,226,41.4
196,19614,14,309,68.4
196,19616,16,446,81
196,19619,19,689,99
197,19732,32,108,9
197,19739,39,171,10.8
197,19749,49,279,16.2
197,19757,57,409,23.4
197,19765,65,596,23.4
198,19818,18,108,13.6
198,19823,23,171,18
198,19828,28,261,32.4
198,19832,32,391,39.6
198,19836,36,549,39.6
199,19915,15,108,12.6
199,19920,20,171,25.2
199,19924,24,272,45
199,19928,28,452,54
199,19930,30,560,54
200,20013,13,108,16.2
200,20017,17,173,27
200,20020,20,254,45
200,20024,24,434,64.8
200,20026,26,563,64.8
201,20113,13,118,16.2
201,20117,17,183,27
201,20120,20,264,45
201,20123,23,399,72
201,20125,25,543,72
202,20213,13,108,16.2
202,20217,17,173,27
202,20221,21,281,45
202,20223,23,371,72
202,20225,25,515,72
203,20313,13,118,16.2
203,20317,17,183,27
203,20320,20,264,66.6
203,20322,22,397,81
203,20324,24,559,81
204,20412,12,108,16.2
204,20416,16,173,27
204,20419,19,254,66.6
204,20421,21,387,81
204,20423,23,549,81
205,20512,12,118,16.2
205,20516,16,183,28.8
205,20519,19,269,68.4
205,20521,21,406,81
205,20523,23,568,81
206,20612,12,128,18
206,20615,15,182,41.4
206,20617,17,265,68.4
206,20619,19,402,81
206,20621,21,564,81
207,20711,11,128,16.2
207,20716,16,209,28.8
207,20719,19,295,68.4
207,20721,21,432,81
207,20723,23,594,81
208,20810,10,128,18
208,20815,15,218,41.4
208,20817,17,301,68.4
208,20819,19,438,81
208,20821,21,600,81
209,20916,16,693,10.8
209,20921,21,108,16.2
209,20926,26,180,36
209,20931,31,288,39.6
209,20936,36,468,39.6
210,21008,8,684,14.4
210,21014,14,108,19.8
210,21018,18,162,36
210,21020,20,243,54
210,21024,24,423,54
211,21108,8,666,18
211,21111,11,108,27
211,21114,14,162,45
211,21117,17,243,54
211,21120,20,448,54
212,21207,7,691,18
212,21209,9,108,27
212,21211,11,162,45
212,21214,14,286,81
212,21216,16,491,81
213,21307,7,734,18
213,21309,9,118,27
213,21311,11,172,68.4
213,21313,13,296,81
213,21315,15,501,81
214,21406,6,663,18
214,21408,8,108,41.4
214,21411,11,162,68.4
214,21413,13,245,81
214,21415,15,450,81
215,21506,6,612,27
215,21508,8,118,41.4
215,21510,10,172,68.4
215,21512,12,255,81
215,21513,13,460,81
216,21606,6,622,27
216,21607,7,108,41.4
216,21608,8,189,68.4
216,21611,11,272,81
216,21612,12,409,81
217,21706,6,652,27
217,21707,7,118,41.4
217,21708,8,199,68.4
217,21711,11,282,81
217,21712,12,487,81
218,21805,5,649,27
218,21807,7,118,41.4
218,21808,8,226,68.4
218,21810,10,309,81
218,21812,12,446,99
219,21905,5,689,27
219,21907,7,108,41.4
219,21908,8,184,68.4
219,21911,11,297,81
219,21912,12,549,81
220,22004,4,826,27
220,22007,7,108,41.4
220,22008,8,180,68.4
220,22010,10,279,81
220,22012,12,423,99
221,22118,18,693,10.8
221,22122,22,108,16.2
221,22127,27,180,36
221,22132,32,288,39.6
221,22137,37,468,39.6
222,22212,12,684,14.4
222,22215,15,108,19.8
222,22219,19,162,36
222,22222,22,243,54
222,22225,25,423,54
223,22310,10,666,18
223,22313,13,108,27
223,22315,15,162,45
223,22318,18,243,54
223,22321,21,448,54
224,22408,8,691,18
224,22411,11,108,27
224,22413,13,162,45
224,22415,15,286,81
224,22418,18,491,81
225,22508,8,734,18
225,22511,11,118,27
225,22513,13,172,68.4
225,22515,15,296,81
225,22517,17,501,81
226,22608,8,663,18
226,22610,10,108,41.4
226,22612,12,162,68.4
226,22614,14,245,81
226,22616,16,450,81
227,22708,8,612,27
227,22709,9,118,41.4
227,22711,11,172,68.4
227,22713,13,255,81
227,22715,15,460,81
228,22807,7,622,27
228,22808,8,108,41.4
228,22810,10,198,68.4
228,22812,12,272,81
228,22813,13,409,81
229,22907,7,652,27
229,22908,8,118,41.4
229,22910,10,199,68.4
229,22912,12,282,81
229,22913,13,487,81
230,23006,6,649,27
230,23008,8,118,41.4
230,23010,10,226,68.4
230,23011,11,309,81
230,23013,13,446,99
231,23106,6,689,27
231,23108,8,108,41.4
231,23110,10,171,68.4
231,23112,12,279,81
231,23113,13,409,81
232,23206,6,596,27
232,23208,8,108,41.4
232,23210,10,171,68.4
232,23211,11,261,81
232,23213,13,391,99
233,23322,22,549,9
233,23327,27,108,10.8
233,23334,34,171,16.2
233,23340,40,272,23.4
233,23346,46,452,23.4
234,23413,13,560,13.6
234,23416,16,108,18
234,23420,20,173,32.4
234,23422,22,254,39.6
234,23425,25,434,39.6
235,23511,11,563,12.6
235,23514,14,118,25.2
235,23517,17,183,45
235,23520,20,264,54
235,23521,21,399,54
236,23609,9,543,16.2
236,23612,12,108,27
236,23614,14,173,45
236,23617,17,281,64.8
236,23618,18,371,64.8
237,23709,9,515,16.2
237,23712,12,118,27
237,23714,14,183,45
237,23716,16,264,72
237,23718,18,397,72
238,23809,9,559,16.2
238,23812,12,108,27
238,23815,15,173,45
238,23816,16,254,72
238,23818,18,387,72
239,23909,9,549,16.2
239,23912,12,118,27
239,23914,14,183,66.6
239,23915,15,269,81
239,23917,17,406,81
240,24008,8,568,16.2
240,24011,11,128,27
240,24013,13,182,66.6
240,24015,15,265,81
240,24016,16,402,81
241,24108,8,564,16.2
241,24111,11,128,28.8
241,24113,13,209,68.4
241,24115,15,295,81
241,24116,16,432,81
242,24208,8,594,18
242,24211,11,128,41.4
242,24212,12,218,68.4
242,24213,13,301,81
242,24215,15,438,81
243,24308,8,600,16.2
243,24311,11,693,28.8
243,24313,13,108,68.4
243,24315,15,180,81
243,24316,16,288,81
244,24407,7,468,18
244,24411,11,684,41.4
244,24412,12,108,68.4
244,24413,13,162,81
244,24415,15,243,81
245,24523,23,108,10.8
245,24530,30,184,16.2
245,24537,37,297,36
245,24544,44,549,39.6
245,24551,51,826,39.6
246,24612,12,108,14.4
246,24620,20,180,19.8
246,24625,25,279,36
246,24629,29,423,54
246,24634,34,693,54
247,24712,12,108,18
247,24716,16,180,27
247,24720,20,288,45
247,24724,24,468,54
247,24728,28,684,54
248,24810,10,108,18
248,24813,13,162,27
248,24816,16,243,45
248,24820,20,423,81
248,24823,23,666,81
249,24910,10,108,18
249,24913,13,162,27
249,24916,16,243,68.4
249,24919,19,448,81
249,24922,22,691,81
250,25009,9,108,18
250,25012,12,162,41.4
250,25015,15,286,68.4
250,25018,18,491,81
250,25021,21,734,81
251,25109,9,118,27
251,25111,11,172,41.4
251,25114,14,296,68.4
251,25117,17,501,81
251,25119,19,663,81
252,25208,8,108,27
252,25210,10,162,41.4
252,25212,12,245,68.4
252,25215,15,450,81
252,25217,17,612,81
253,25308,8,118,27
253,25310,10,172,41.4
253,25312,12,255,68.4
253,25315,15,460,81
253,25317,17,622,81
254,25407,7,108,27
254,25410,10,189,41.4
254,25412,12,272,68.4
254,25414,14,409,81
254,25417,17,652,99
255,25507,7,118,27
255,25510,10,199,41.4
255,25512,12,282,68.4
255,25515,15,487,81
255,25517,17,649,81
256,25606,6,118,27
256,25610,10,226,41.4
256,25612,12,309,68.4
256,25614,14,446,81
256,25617,17,689,99
257,25725,25,108,10.8
257,25732,32,184,16.2
257,25739,39,297,36
257,25746,46,549,39.6
257,25753,53,826,39.6
258,25817,17,108,14.4
258,25822,22,180,19.8
258,25827,27,279,36
258,25831,31,423,54
258,25836,36,693,54
259,25914,14,108,18
259,25918,18,180,27
259,25922,22,288,45
259,25926,26,468,54
259,25930,30,684,54
260,26012,12,108,18
260,26015,15,162,27
260,26018,18,243,45
260,26022,22,423,81
260,26025,25,666,81
261,26112,12,108,18
261,26115,15,162,27
261,26118,18,243,68.4
261,26121,21,448,81
261,26124,24,691,81
262,26211,11,108,18
262,26214,14,162,41.4
262,26217,17,286,68.4
262,26220,20,491,81
262,26223,23,734,81
263,26311,11,118,27
263,26313,13,172,41.4
263,26316,16,296,68.4
263,26319,19,501,81
263,26321,21,663,81
264,26410,10,108,27
264,26412,12,162,41.4
264,26414,14,245,68.4
264,26417,17,450,81
264,26419,19,612,81
265,26510,10,118,27
265,26512,12,172,41.4
265,26514,14,255,68.4
265,26517,17,460,81
265,26519,19,622,81
266,26609,9,108,27
266,26612,12,198,41.4
266,26614,14,272,68.4
266,26616,16,409,81
266,26619,19,652,99
267,26709,9,118,27
267,26712,12,199,41.4
267,26714,14,282,68.4
267,26717,17,487,81
267,26719,19,649,81
268,26809,9,118,27
268,26812,12,226,41.4
268,26814,14,309,68.4
268,26816,16,446,81
268,26819,19,689,99
269,26932,32,108,9
269,26939,39,171,10.8
269,26949,49,279,16.2
269,26957,57,409,23.4
269,26965,65,596,23.4
270,27018,18,108,13.6
270,27023,23,171,18
270,27028,28,261,32.4
270,27032,32,391,39.6
270,27036,36,549,39.6
271,27115,15,108,12.6
271,27120,20,171,25.2
271,27124,24,272,45
271,27128,28,452,54
271,27130,30,560,54
272,27213,13,108,16.2
272,27217,17,173,27
272,27220,20,254,45
272,27224,24,434,64.8
272,27226,26,563,64.8
273,27313,13,118,16.2
273,27317,17,183,27
273,27320,20,264,45
273,27323,23,399,72
273,27325,25,543,72
274,27413,13,108,16.2
274,27417,17,173,27
274,27421,21,281,45
274,27423,23,371,72
274,27425,25,515,72
275,27513,13,118,16.2
275,27517,17,183,27
275,27520,20,264,66.6
275,27522,22,397,81
275,27524,24,559,81
276,27612,12,108,16.2
276,27616,16,173,27
276,27619,19,254,66.6
276,27621,21,387,81
276,27623,23,549,81
277,27712,12,118,16.2
277,27716,16,183,28.8
277,27719,19,269,68.4
277,27721,21,406,81
277,27723,23,568,81
278,27812,12,128,18
278,27815,15,182,41.4
278,27817,17,265,68.4
278,27819,19,402,81
278,27821,21,564,81
279,27911,11,128,16.2
279,27916,16,209,28.8
279,27919,19,295,68.4
279,27921,21,432,81
279,27923,23,594,81
280,28010,10,128,18
280,28015,15,218,41.4
