CODE,CODE_TRIP,TRIP,EARNING,RATE
280,28017,17,301,68.4
280,28019,19,438,81
280,28021,21,600,81
281,28116,16,108,10.8
281,28121,21,184,16.2
281,28126,26,297,36
281,28131,31,549,39.6
281,28136,36,826,39.6
282,28208,8,108,14.4
282,28214,14,180,19.8
282,28218,18,279,36
282,28220,20,423,54
282,28224,24,693,54
283,28308,8,108,18
283,28311,11,180,27
283,28314,14,288,45
283,28317,17,468,54
283,28320,20,684,54
284,28407,7,108,18
284,28409,9,162,27
284,28411,11,243,45
284,28414,14,423,81
284,28416,16,666,81
285,28507,7,108,18
285,28509,9,162,27
285,28511,11,243,68.4
285,28513,13,448,81
285,28515,15,691,81
286,28606,6,108,18
286,28608,8,162,41.4
286,28611,11,286,68.4
286,28613,13,491,81
286,28615,15,734,81
287,28706,6,118,27
287,28708,8,172,41.4
287,28710,10,296,68.4
287,28712,12,501,81
287,28713,13,663,81
288,28806,6,108,27
288,28807,7,162,41.4
288,28808,8,245,68.4
288,28811,11,450,81
288,28812,12,612,81
289,28906,6,118,27
289,28907,7,172,41.4
289,28908,8,255,68.4
289,28911,11,460,81
289,28912,12,622,81
290,29005,5,108,27
290,29007,7,189,41.4
290,29008,8,272,68.4
290,29010,10,409,81
290,29012,12,652,99
291,29105,5,118,27
291,29107,7,199,41.4
291,29108,8,282,68.4
291,29111,11,487,81
291,29112,12,649,81
292,29204,4,118,27
292,29207,7,226,41.4
292,29208,8,309,68.4
292,29210,10,446,81
292,29212,12,689,99
293,29318,18,108,10.8
293,29322,22,184,16.2
293,29327,27,297,36
293,29332,32,549,39.6
293,29337,37,826,39.6
294,29412,12,108,14.4
294,29415,15,180,19.8
294,29419,19,279,36
294,29422,22,423,54
294,29425,25,693,54
295,29510,10,108,18
295,29513,13,180,27
295,29515,15,288,45
295,29518,18,468,54
295,29521,21,684,54
296,29608,8,108,18
296,29611,11,162,27
296,29613,13,243,45
296,29615,15,423,81
296,29618,18,666,81
297,29708,8,108,18
297,29711,11,162,27
297,29713,13,243,68.4
297,29715,15,448,81
297,29717,17,691,81
298,29808,8,108,18
298,29810,10,162,41.4
298,29812,12,286,68.4
298,29814,14,491,81
298,29816,16,734,81
299,29908,8,118,27
299,29909,9,172,41.4
299,29911,11,296,68.4
299,29913,13,501,81
299,29915,15,663,81
300,30007,7,108,27
300,30008,8,162,41.4
300,30010,10,245,68.4
300,30012,12,450,81
300,30013,13,612,81
301,30107,7,118,27
301,30108,8,172,41.4
301,30110,10,255,68.4
301,30112,12,460,81
301,30113,13,622,81
302,30206,6,108,27
302,30208,8,198,41.4
302,30210,10,272,68.4
302,30211,11,409,81
302,30213,13,652,99
303,30306,6,118,27
303,30308,8,199,41.4
303,30310,10,282,68.4
303,30312,12,487,81
303,30313,13,649,81
304,30406,6,118,27
304,30408,8,226,41.4
304,30410,10,309,68.4
304,30411,11,446,81
304,30413,13,689,99
305,30522,22,108,9
305,30527,27,171,10.8
305,30534,34,279,16.2
305,30540,40,409,23.4
305,30546,46,596,23.4
306,30613,13,108,13.6
306,30616,16,171,18
306,30620,20,261,32.4
306,30622,22,391,39.6
306,30625,25,549,39.6
307,30711,11,108,12.6
307,30714,14,171,25.2
307,30717,17,272,45
307,30720,20,452,54
307,30721,21,560,54
308,30809,9,108,16.2
308,30812,12,173,27
308,30814,14,254,45
308,30817,17,434,64.8
308,30818,18,563,64.8
309,30909,9,118,16.2
309,30912,12,183,27
309,30914,14,264,45
309,30916,16,399,72
309,30918,18,543,72
310,31009,9,108,16.2
310,31012,12,173,27
310,31015,15,281,45
310,31016,16,371,72
310,31018,18,515,72
311,31109,9,118,16.2
311,31112,12,183,27
311,31114,14,264,66.6
311,31115,15,397,81
311,31117,17,559,81
312,31208,8,108,16.2
312,31211,11,173,27
312,31213,13,254,66.6
312,31215,15,387,81
312,31216,16,549,81
313,31308,8,118,16.2
313,31311,11,183,28.8
313,31313,13,269,68.4
313,31315,15,406,81
313,31316,16,568,81
314,31408,8,128,18
314,31411,11,182,41.4
314,31412,12,265,68.4
314,31413,13,402,81
314,31415,15,564,81
315,31508,8,128,16.2
315,31511,11,209,28.8
315,31513,13,295,68.4
315,31515,15,432,81
315,31516,16,594,81
316,31607,7,128,18
316,31611,11,218,41.4
316,31612,12,301,68.4
316,31613,13,438,81
316,31615,15,600,81
317,31719,19,108,10.8
317,31724,24,162,16.2
317,31729,29,243,27
317,31734,34,378,48.6
317,31737,37,524,48.6
318,31813,13,108,16.2
318,31817,17,173,23.4
318,31820,20,243,43.2
318,31823,23,373,72
318,31825,25,517,72
319,31911,11,108,18
319,31914,14,162,27
319,31917,17,243,45
319,31920,20,378,81
319,31922,22,540,81
320,32011,11,118,27
320,32013,13,172,32.4
320,32016,16,269,45
320,32019,19,404,81
320,32021,21,566,81
321,32110,10,108,27
321,32112,12,162,32.4
321,32115,15,259,45
321,32118,18,394,82.8
321,32120,20,560,82.8
322,32210,10,118,27
322,32212,12,172,32.4
322,32215,15,269,59.4
322,32217,17,388,82.8
322,32219,19,554,82.8
323,32309,9,108,27
323,32311,11,162,32.4
323,32314,14,259,59.4
323,32316,16,378,90
323,32318,18,558,90
324,32409,9,118,27
324,32411,11,172,41.4
324,32413,13,255,63
324,32415,15,381,90
324,32417,17,561,90
325,32508,8,108,27
325,32510,10,162,41.4
325,32512,12,245,63
325,32514,14,371,90
325,32516,16,551,90
326,32608,8,118,27
326,32610,10,172,41.4
326,32612,12,255,64.8
326,32614,14,384,91.8
326,32616,16,568,91.8
327,32707,7,108,27
327,32710,10,189,41.4
327,32712,12,272,63
327,32714,14,398,90
327,32716,16,578,90
328,32807,7,118,27
328,32810,10,199,41.4
328,32812,12,282,64.8
328,32814,14,411,91.8
328,32816,16,595,91.8
329,32920,20,108,10.8
329,32925,25,162,16.2
329,32930,30,243,27
329,32935,35,378,48.6
329,32938,38,524,48.6
330,33014,14,108,16.2
330,33018,18,173,23.4
330,33021,21,243,43.2
330,33024,24,373,72
330,33026,26,517,72
331,33112,12,108,18
331,33115,15,162,27
331,33118,18,243,45
331,33121,21,378,81
331,33123,23,540,81
332,33212,12,118,21.6
332,33215,15,183,27
332,33218,18,264,45
332,33221,21,399,81
332,33223,23,561,81
333,33311,11,108,21.6
333,33314,14,173,27
333,33317,17,254,45
333,33320,20,389,81
333,33322,22,551,81
334,33411,11,118,27
334,33413,13,172,32.4
334,33416,16,269,45
334,33419,19,404,81
334,33421,21,566,81
335,33510,10,108,27
335,33512,12,162,32.4
335,33515,15,259,45
335,33518,18,394,82.8
335,33520,20,560,82.8
336,33610,10,118,27
336,33612,12,172,32.4
336,33615,15,269,59.4
336,33617,17,388,82.8
336,33619,19,554,82.8
337,33709,9,108,27
337,33711,11,162,32.4
337,33714,14,259,59.4
337,33716,16,378,90
337,33718,18,558,90
338,33809,9,118,27
338,33811,11,172,41.4
338,33813,13,255,63
338,33815,15,381,90
338,33817,17,561,90
339,33908,8,118,27
339,33910,10,172,41.4
339,33912,12,255,63
339,33914,14,381,90
339,33916,16,561,90
340,34007,7,118,27
340,34009,9,172,41.4
340,34011,11,255,63
340,34013,13,381,90
340,34015,15,561,90
341,34129,29,108,9
341,34136,36,171,12.6
341,34143,43,259,18
341,34151,51,403,23.4
341,34158,58,567,25.2
342,34217,17,108,14.5
342,34221,21,166,21.5
342,34225,25,252,32.5
342,34229,29,382,39.5
342,34233,33,540,41.4
343,34314,14,108,14.4
343,34318,18,166,28.8
343,34321,21,252,45
343,34324,24,387,54
343,34327,27,549,54
344,34413,13,108,19.8
344,34416,16,167,30.6
344,34419,19,259,45
344,34422,22,394,68.4
344,34424,24,531,68.4
345,34512,12,108,19.8
345,34515,15,167,30.6
345,34518,18,259,45
345,34521,21,394,81
345,34523,23,556,81
346,34611,11,108,19.8
346,34614,14,167,30.6
346,34617,17,259,45
346,34620,20,394,81
346,34622,22,556,81
347,34711,11,118,19.8
347,34714,14,177,30.6
347,34717,17,269,66.6
347,34719,19,402,81
347,34721,21,564,81
348,34810,10,118,19.8
348,34813,13,177,30.6
348,34816,16,269,66.6
348,34818,18,402,81
348,34820,20,564,81
349,34910,10,128,19.8
349,34913,13,197,30.6
349,34916,16,279,66.6
349,34918,18,416,81
349,34920,20,578,81
350,35009,9,118,19.8
350,35013,13,197,30.6
350,35015,15,280,66.6
350,35017,17,417,81
350,35019,19,579,81
351,35108,8,118,19.8
351,35113,13,217,30.6
351,35116,16,309,66.6
351,35118,18,446,81
351,35120,20,608,81
352,35208,8,128,19.8
352,35213,13,227,30.6
352,35215,15,310,66.6
352,35217,17,447,81
352,35219,19,609,81
353,35313,13,108,10.8
353,35317,17,162,16.2
353,35320,20,243,27
353,35324,24,378,48.6
353,35326,26,524,48.6
354,35409,9,108,16.2
354,35412,12,173,23.4
354,35414,14,243,43.2
354,35416,16,373,72
354,35418,18,517,72
355,35508,8,108,18
355,35510,10,162,27
355,35512,12,243,45
355,35514,14,378,81
355,35515,15,540,81
356,35608,8,118,27
356,35609,9,172,32.4
356,35611,11,269,45
356,35613,13,404,81
356,35615,15,566,81
357,35707,7,108,27
357,35708,8,162,32.4
357,35711,11,259,45
357,35713,13,394,82.8
357,35714,14,560,82.8
358,35807,7,118,27
358,35808,8,172,32.4
358,35811,11,269,59.4
358,35812,12,388,82.8
358,35813,13,554,82.8
359,35906,6,108,27
359,35908,8,162,32.4
359,35910,10,259,59.4
359,35911,11,378,90
359,35913,13,558,90
360,36006,6,118,27
360,36008,8,172,41.4
360,36009,9,255,63
360,36011,11,381,90
360,36012,12,561,90
361,36106,6,108,27
361,36107,7,162,41.4
361,36108,8,245,63
361,36110,10,371,90
361,36111,11,551,90
362,36206,6,118,27
362,36207,7,172,41.4
362,36208,8,255,64.8
362,36210,10,384,91.8
362,36211,11,568,91.8
363,36305,5,108,27
363,36307,7,189,41.4
363,36308,8,272,63
363,36310,10,398,90
363,36311,11,578,90
364,36405,5,118,27
364,36407,7,199,41.4
364,36408,8,282,64.8
364,36410,10,411,91.8
364,36411,11,595,91.8
365,36514,14,108,10.8
365,36518,18,162,16.2
365,36521,21,243,27
365,36525,25,378,48.6
365,36527,27,524,48.6
366,36610,10,108,16.2
366,36613,13,173,23.4
366,36615,15,243,43.2
366,36617,17,373,72
366,36618,18,517,72
367,36708,8,108,18
367,36711,11,162,27
367,36713,13,243,45
367,36715,15,378,81
367,36716,16,540,81
368,36808,8,118,21.6
368,36811,11,183,27
368,36813,13,264,45
368,36815,15,399,81
368,36816,16,561,81
369,36908,8,108,21.6
369,36910,10,173,27
369,36912,12,254,45
369,36914,14,389,81
369,36915,15,551,81
370,37008,8,118,27
370,37009,9,172,32.4
370,37011,11,269,45
370,37013,13,404,81
370,37015,15,566,81
371,37107,7,108,27
371,37108,8,162,32.4
371,37111,11,259,45
371,37113,13,394,82.8
371,37114,14,560,82.8
372,37207,7,118,27
372,37208,8,172,32.4
372,37211,11,269,59.4
372,37212,12,388,82.8
372,37213,13,554,82.8
373,37306,6,108,27
373,37308,8,162,32.4
373,37310,10,259,59.4
373,37311,11,378,90
373,37313,13,558,90
374,37406,6,118,27
374,37408,8,172,41.4
374,37409,9,255,63
374,37411,11,381,90
374,37412,12,561,90
375,37506,6,118,27
375,37507,7,172,41.4
375,37508,8,255,63
375,37510,10,381,90
375,37511,11,561,90
376,37605,5,118,27
376,37606,6,172,41.4
376,37608,8,255,63
376,37609,9,381,90
376,37611,11,561,90
377,37720,20,108,9
377,37725,25,171,12.6
377,37730,30,259,18
377,37736,36,403,23.4
377,37741,41,567,25.2
378,37812,12,108,14.5
378,37815,15,166,21.5
378,37818,18,252,32.5
378,37820,20,382,39.5
378,37823,23,540,41.4
379,37910,10,108,14.4
379,37913,13,166,28.8
379,37915,15,252,45
379,37917,17,387,54
379,37919,19,549,54
380,38009,9,108,19.8
380,38011,11,167,30.6
380,38013,13,259,45
380,38015,15,394,68.4
380,38017,17,531,68.4
381,38108,8,108,19.8
381,38111,11,167,30.6
381,38113,13,259,45
381,38115,15,394,81
381,38116,16,556,81
382,38208,8,108,19.8
382,38210,10,167,30.6
382,38212,12,259,45
382,38214,14,394,81
382,38215,15,556,81
383,38308,8,118,19.8
383,38310,10,177,30.6
383,38312,12,269,66.6
383,38313,13,402,81
383,38315,15,564,81
384,38407,7,118,19.8
384,38409,9,177,30.6
384,38411,11,269,66.6
384,38413,13,402,81
384,38414,14,564,81
385,38507,7,128,19.8
385,38509,9,197,30.6
385,38511,11,279,66.6
385,38513,13,416,81
385,38514,14,578,81
386,38606,6,118,19.8
386,38609,9,197,30.6
386,38611,11,280,66.6
386,38612,12,417,81
386,38613,13,579,81
387,38706,6,118,19.8
387,38709,9,217,30.6
387,38711,11,309,66.6
387,38713,13,446,81
387,38714,14,608,81
388,38806,6,128,19.8
388,38809,9,227,30.6
388,38811,11,310,66.6
388,38812,12,447,81
388,38813,13,609,81
389,38919,19,108,10.8
389,38924,24,162,16.2
389,38929,29,243,27
389,38934,34,378,48.6
389,38937,37,524,48.6
390,39013,13,108,16.2
390,39017,17,173,23.4
390,39020,20,243,43.2
390,39023,23,373,72
390,39025,25,517,72
391,39111,11,108,18
391,39114,14,162,27
391,39117,17,243,45
391,39120,20,378,81
391,39122,22,540,81
392,39211,11,118,27
392,39213,13,172,32.4
392,39216,16,269,45
392,39219,19,404,81
392,39221,21,566,81
393,39310,10,108,27
393,39312,12,162,32.4
393,39315,15,259,45
393,39318,18,394,82.8
393,39320,20,560,82.8
394,39410,10,118,27
394,39412,12,172,32.4
394,39415,15,269,59.4
394,39417,17,388,82.8
394,39419,19,554,82.8
395,39509,9,108,27
395,39511,11,162,32.4
395,39514,14,259,59.4
395,39516,16,378,90
395,39518,18,558,90
396,39609,9,118,27
396,39611,11,172,41.4
396,39613,13,255,63
396,39615,15,381,90
396,39617,17,561,90
397,39708,8,108,27
397,39710,10,162,41.4
397,39712,12,245,63
397,39714,14,371,90
397,39716,16,551,90
398,39808,8,118,27
398,39810,10,172,41.4
398,39812,12,255,64.8
398,39814,14,384,91.8
398,39816,16,568,91.8
399,39907,7,108,27
399,39910,10,189,41.4
399,39912,12,272,63
399,39914,14,398,90
399,39916,16,578,90
400,40007,7,118,27
400,40010,10,199,41.4
400,40012,12,282,64.8
400,40014,14,411,91.8
400,40016,16,595,91.8
401,40120,20,108,10.8
401,40125,25,162,16.2
401,40130,30,243,27
401,40135,35,378,48.6
401,40138,38,524,48.6
402,40214,14,108,16.2
402,40218,18,173,23.4
402,40221,21,243,43.2
402,40224,24,373,72
402,40226,26,517,72
403,40312,12,108,18
403,40315,15,162,27
403,40318,18,243,45
403,40321,21,378,81
403,40323,23,540,81
404,40412,12,118,21.6
404,40415,15,183,27
404,40418,18,264,45
404,40421,21,399,81
404,40423,23,561,81
405,40511,11,108,21.6
405,40514,14,173,27
405,40517,17,254,45
405,40520,20,389,81
405,40522,22,551,81
406,40611,11,118,27
406,40613,13,172,32.4
406,40616,16,269,45
406,40619,19,404,81
406,40621,21,566,81
407,40710,10,108,27
407,40712,12,162,32.4
407,40715,15,259,45
407,40718,18,394,82.8
407,40720,20,560,82.8
408,40810,10,118,27
408,40812,12,172,32.4
408,40815,15,269,59.4
408,40817,17,388,82.8
408,40819,19,554,82.8
409,40909,9,108,27
409,40911,11,162,32.4
409,40914,14,259,59.4
409,40916,16,378,90
409,40918,18,558,90
410,41009,9,118,27
410,41011,11,172,41.4
410,41013,13,255,63
410,41015,15,381,90
410,41017,17,561,90
411,41108,8,118,27
411,41110,10,172,41.4
411,41112,12,255,63
411,41114,14,381,90
411,41116,16,561,90
412,41207,7,118,27
412,41209,9,172,41.4
412,41211,11,255,63
412,41213,13,381,90
412,41215,15,561,90
413,41329,29,108,9
413,41336,36,171,12.6
413,41343,43,259,18
413,41351,51,403,23.4
413,41358,58,567,25.2
414,41417,17,108,14.5
414,41421,21,166,21.5
414,41425,25,252,32.5
414,41429,29,382,39.5
414,41433,33,540,41.4
415,41514,14,108,14.4
415,41518,18,166,28.8
415,41521,21,252,45
415,41524,24,387,54
415,41527,27,549,54
416,41613,13,108,19.8
416,41616,16,167,30.6
416,41619,19,259,45
416,41622,22,394,68.4
416,41624,24,531,68.4
417,41712,12,108,19.8
417,41715,15,167,30.6
417,41718,18,259,45
417,41721,21,394,81
417,41723,23,556,81
418,41811,11,108,19.8
418,41814,14,167,30.6
418,41817,17,259,45
418,41820,20,394,81
418,41822,22,556,81
419,41911,11,118,19.8
419,41914,14,177,30.6
419,41917,17,269,66.6
419,41919,19,402,81
419,41921,21,564,81
420,42010,10,118,19.8
420,42013,13,177,30.6
420,42016,16,269,66.6
420,42018,18,402,81
420,42020,20,564,81
421,42110,10,128,19.8
421,42113,13,197,30.6
421,42116,16,279,66.6
421,42118,18,416,81
421,42120,20,578,81
422,42209,9,118,19.8
422,42213,13,197,30.6
422,42215,15,280,66.6
422,42217,17,417,81
422,42219,19,579,81
423,42308,8,118,19.8
423,42313,13,217,30.6
423,42316,16,309,66.6
423,42318,18,446,81
423,42320,20,608,81
424,42408,8,128,19.8
424,42413,13,227,30.6
424,42415,15,310,66.6
424,42417,17,447,81
424,42419,19,609,81
425,42513,13,108,10.8
425,42517,17,162,16.2
425,42520,20,243,27
425,42524,24,378,48.6
425,42526,26,524,48.6
426,42609,9,108,16.2
426,42612,12,173,23.4
426,42614,14,243,43.2
426,42616,16,373,72
426,42618,18,517,72
427,42708,8,108,18
427,42710,10,162,27
427,42712,12,243,45
427,42714,14,378,81
427,42715,15,540,81
428,42808,8,118,27
428,42809,9,172,32.4
428,42811,11,269,45
428,42813,13,404,81
428,42815,15,566,81
429,42907,7,108,27
429,42908,8,162,32.4
429,42911,11,259,45
429,42913,13,394,82.8
429,42914,14,560,82.8
430,43007,7,118,27
430,43008,8,172,32.4
430,43011,11,269,59.4
430,43012,12,388,82.8
430,43013,13,554,82.8
431,43106,6,108,27
431,43108,8,162,32.4
431,43110,10,259,59.4
431,43111,11,378,90
431,43113,13,558,90
432,43206,6,118,27
432,43208,8,172,41.4
432,43209,9,255,63
432,43211,11,381,90
432,43212,12,561,90
433,43306,6,108,27
433,43307,7,162,41.4
433,43308,8,245,63
433,43310,10,371,90
433,43311,11,551,90
434,43406,6,118,27
434,43407,7,172,41.4
434,43408,8,255,64.8
434,43410,10,384,91.8
434,43411,11,568,91.8
435,43505,5,108,27
435,43507,7,189,41.4
435,43508,8,272,63
435,43510,10,398,90
435,43511,11,578,90
436,43605,5,118,27
436,43607,7,199,41.4
436,43608,8,282,64.8
436,43610,10,411,91.8
436,43611,11,595,91.8
437,43714,14,108,10.8
437,43718,18,162,16.2
437,43721,21,243,27
437,43725,25,378,48.6
437,43727,27,524,48.6
438,43810,10,108,16.2
438,43813,13,173,23.4
438,43815,15,243,43.2
438,43817,17,373,72
438,43818,18,517,72
439,43908,8,108,18
439,43911,11,162,27
439,43913,13,243,45
439,43915,15,378,81
439,43916,16,540,81
440,44008,8,118,21.6
440,44011,11,183,27
440,44013,13,264,45
440,44015,15,399,81
440,44016,16,561,81
441,44108,8,108,21.6
441,44110,10,173,27
441,44112,12,254,45
441,44114,14,389,81
441,44115,15,551,81
442,44208,8,118,27
442,44209,9,172,32.4
442,44211,11,269,45
442,44213,13,404,81
442,44215,15,566,81
443,44307,7,108,27
443,44308,8,162,32.4
443,44311,11,259,45
443,44313,13,394,82.8
443,44314,14,560,82.8
444,44407,7,118,27
444,44408,8,172,32.4
444,44411,11,269,59.4
444,44412,12,388,82.8
444,44413,13,554,82.8
445,44506,6,108,27
445,44508,8,162,32.4
445,44510,10,259,59.4
445,44511,11,378,90
445,44513,13,558,90
446,44606,6,118,27
446,44608,8,172,41.4
446,44609,9,255,63
446,44611,11,381,90
446,44612,12,561,90
447,44706,6,118,27
447,44707,7,172,41.4
447,44708,8,255,63
447,44710,10,381,90
447,44711,11,561,90
448,44805,5,118,27
448,44806,6,172,41.4
448,44808,8,255,63
448,44809,9,381,90
448,44811,11,561,90
449,44920,20,108,9
449,44925,25,171,12.6
449,44930,30,259,18
449,44936,36,403,23.4
449,44941,41,567,25.2
450,45012,12,108,14.5
450,45015,15,166,21.5
450,45018,18,252,32.5
450,45020,20,382,39.5
450,45023,23,540,41.4
451,45110,10,108,14.4
451,45113,13,166,28.8
451,45115,15,252,45
451,45117,17,387,54
451,45119,19,549,54
452,45209,9,108,19.8
452,45211,11,167,30.6
452,45213,13,259,45
452,45215,15,394,68.4
452,45217,17,531,68.4
453,45308,8,108,19.8
453,45311,11,167,30.6
453,45313,13,259,45
453,45315,15,394,81
453,45316,16,556,81
454,45408,8,108,19.8
454,45410,10,167,30.6
454,45412,12,259,45
454,45414,14,394,81
454,45415,15,556,81
455,45508,8,118,19.8
455,45510,10,177,30.6
455,45512,12,269,66.6
455,45513,13,402,81
455,45515,15,564,81
456,45607,7,118,19.8
456,45609,9,177,30.6
456,45611,11,269,66.6
456,45613,13,402,81
456,45614,14,564,81
457,45707,7,128,19.8
457,45709,9,197,30.6
457,45711,11,279,66.6
457,45713,13,416,81
457,45714,14,578,81
458,45806,6,118,19.8
458,45809,9,197,30.6
458,45811,11,280,66.6
458,45812,12,417,81
458,45813,13,579,81
459,45906,6,118,19.8
459,45909,9,217,30.6
459,45911,11,309,66.6
459,45913,13,446,81
459,45914,14,608,81
460,46006,6,128,19.8
460,46009,9,227,30.6
460,46011,11,310,66.6
460,46012,12,447,81
460,46013,13,609,81
